phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
minimum wage,economy/fiscal issues,9,0,9,39.13,0,10.56521739,0.001152355
clean energy,energy/environment,11,1,12,47.83,3.7,10.07461084,0.001503264
climate change,energy/environment,13,2,15,56.52,7.41,9.986580784,0.001576851
gun violence,crime/justice,8,0,8,34.78,0,9.391304348,0.00218017
affordable care,NA,10,1,11,43.48,3.7,8.931196018,0.002803407
international,NA,0,10,10,0,37.04,8.518518519,0.003515506
education need,education,7,0,7,30.43,0,8.217391304,0.00414908
universal,NA,11,2,13,47.83,7.41,7.803914282,0.005213318
affordable care act,health care,9,1,10,39.13,3.7,7.793880837,0.005242347
middle class,economy/fiscal issues,9,1,10,39.13,3.7,7.793880837,0.005242347
sick,health care,9,1,10,39.13,3.7,7.793880837,0.005242347
care act,NA,9,1,10,39.13,3.7,7.793880837,0.005242347
implemented,NA,1,12,13,4.35,44.44,7.680044593,0.005583479
students state,education,6,0,6,26.09,0,7.043478261,0.007955439
just weeks ago,NA,6,0,6,26.09,0,7.043478261,0.007955439
gun safety,crime/justice,6,0,6,26.09,0,7.043478261,0.007955439
protect health,NA,6,0,6,26.09,0,7.043478261,0.007955439
pre existing,NA,6,0,6,26.09,0,7.043478261,0.007955439
set aside,NA,0,8,8,0,29.63,6.814814815,0.009040468
prison,crime/justice,5,20,25,21.74,74.07,6.803542673,0.009097718
business community,economy/fiscal issues,8,1,9,34.78,3.7,6.664698515,0.009834129
economic success,economy/fiscal issues,8,1,9,34.78,3.7,6.664698515,0.009834129
freedom,NA,1,10,11,4.35,37.04,6.032645294,0.014043672
wind,NA,11,3,14,47.83,11.11,5.979296066,0.014474778
choices,NA,11,3,14,47.83,11.11,5.979296066,0.014474778
11 million,NA,0,7,7,0,25.93,5.962962963,0.014609469
doing business,economy/fiscal issues,0,7,7,0,25.93,5.962962963,0.014609469
state income,economy/fiscal issues,0,7,7,0,25.93,5.962962963,0.014609469
pre existing conditions,health care,5,0,5,21.74,0,5.869565217,0.015404856
need make sure,NA,5,0,5,21.74,0,5.869565217,0.015404856
reproductive health,health care,5,0,5,21.74,0,5.869565217,0.015404856
educators deserve,education,5,0,5,21.74,0,5.869565217,0.015404856
expanding access,NA,5,0,5,21.74,0,5.869565217,0.015404856
energy future,energy/environment,5,0,5,21.74,0,5.869565217,0.015404856
economy works,economy/fiscal issues,5,0,5,21.74,0,5.869565217,0.015404856
existing conditions,health care,5,0,5,21.74,0,5.869565217,0.015404856
sure children,NA,5,0,5,21.74,0,5.869565217,0.015404856
cost health,health care,5,0,5,21.74,0,5.869565217,0.015404856
good faith,NA,5,0,5,21.74,0,5.869565217,0.015404856
values,NA,14,5,19,60.87,18.52,5.862276464,0.015468775
child care,education,9,2,11,39.13,7.41,5.681305812,0.017146602
core,NA,2,12,14,8.7,44.44,5.66873706,0.017269885
officer,NA,2,12,14,8.7,44.44,5.66873706,0.017269885
state let,NA,7,1,8,30.43,3.7,5.546698873,0.018515575
expand medicaid,health care,7,1,8,30.43,3.7,5.546698873,0.018515575
past years ve,NA,7,1,8,30.43,3.7,5.546698873,0.018515575
list,NA,3,14,17,13.04,51.85,5.501657668,0.018998456
climate,energy/environment,15,6,21,65.22,22.22,5.46652864,0.019384091
childhood,NA,12,4,16,52.17,14.81,5.417069243,0.019940805
minimum,NA,12,4,16,52.17,14.81,5.417069243,0.019940805
ongoing,NA,1,9,10,4.35,33.33,5.217391304,0.022362073
2014,NA,1,9,10,4.35,33.33,5.217391304,0.022362073
affordable,NA,20,10,30,86.96,37.04,5.158346753,0.023134909
thanking,NA,2,11,13,8.7,40.74,4.905363558,0.026773415
enjoy,NA,2,11,13,8.7,40.74,4.905363558,0.026773415
law enforcement,crime/justice,5,17,22,21.74,62.96,4.796955058,0.028510082
enforcement,crime/justice,5,17,22,21.74,62.96,4.796955058,0.028510082
necessary,NA,5,17,22,21.74,62.96,4.796955058,0.028510082
bless great state,NA,3,13,16,13.04,48.15,4.783011272,0.028741818
16,NA,3,13,16,13.04,48.15,4.783011272,0.028741818
man,NA,4,15,19,17.39,55.56,4.760488177,0.029120288
concerns,NA,8,2,10,34.78,7.41,4.653784219,0.030985168
carbon,energy/environment,8,2,10,34.78,7.41,4.653784219,0.030985168
sustain,NA,8,2,10,34.78,7.41,4.653784219,0.030985168
pre,NA,14,6,20,60.87,22.22,4.637681159,0.031277237
starts,NA,11,4,15,47.83,14.81,4.511540526,0.033666905
afford,NA,19,10,29,82.61,37.04,4.447165306,0.034959231
looks like,NA,6,1,7,26.09,3.7,4.444674488,0.035010264
friends neighbors,NA,6,1,7,26.09,3.7,4.444674488,0.035010264
just weeks,NA,6,1,7,26.09,3.7,4.444674488,0.035010264
paid family,NA,6,1,7,26.09,3.7,4.444674488,0.035010264
house senate,NA,1,8,9,4.35,29.63,4.410270174,0.035723183
savings account,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
schools safer,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
local law enforcement,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
state law,NA,0,5,5,0,18.52,4.259259259,0.03903694
department commerce,NA,0,5,5,0,18.52,4.259259259,0.03903694
prison population,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
local law,crime/justice,0,5,5,0,18.52,4.259259259,0.03903694
state income tax,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
skills necessary,NA,0,5,5,0,18.52,4.259259259,0.03903694
education workforce,education,0,5,5,0,18.52,4.259259259,0.03903694
cost doing,NA,0,5,5,0,18.52,4.259259259,0.03903694
continues grow,NA,0,5,5,0,18.52,4.259259259,0.03903694
line duty,NA,0,5,5,0,18.52,4.259259259,0.03903694
tax rates,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
long ago,NA,0,5,5,0,18.52,4.259259259,0.03903694
fully funding,economy/fiscal issues,0,5,5,0,18.52,4.259259259,0.03903694
thanks leadership,NA,0,5,5,0,18.52,4.259259259,0.03903694
mr chief justice,NA,0,5,5,0,18.52,4.259259259,0.03903694
mr chief,NA,0,5,5,0,18.52,4.259259259,0.03903694
conservative,NA,2,10,12,8.7,37.04,4.156736447,0.041469233
corrections,crime/justice,2,10,12,8.7,37.04,4.156736447,0.041469233
involved,NA,2,10,12,8.7,37.04,4.156736447,0.041469233
adults,NA,12,5,17,52.17,18.52,4.137633797,0.041939755
reach,NA,16,8,24,69.57,29.63,4.126677402,0.042212153
environment,energy/environment,4,14,18,17.39,51.85,4.096976203,0.042959981
continued,NA,4,14,18,17.39,51.85,4.096976203,0.042959981
positive,NA,3,12,15,13.04,44.44,4.082125604,0.043339106
looks,NA,9,3,12,39.13,11.11,4.062801932,0.043837703
good jobs,economy/fiscal issues,9,3,12,39.13,11.11,4.062801932,0.043837703
ve got,NA,9,3,12,39.13,11.11,4.062801932,0.043837703
example,NA,8,21,29,34.78,77.78,3.95852074,0.046634668
coverage,NA,13,6,19,56.52,22.22,3.845156369,0.049889869
works,NA,18,10,28,78.26,37.04,3.769036117,0.052209711
left,NA,18,10,28,78.26,37.04,3.769036117,0.052209711
begin,NA,6,17,23,26.09,62.96,3.671567598,0.055348105
state government,NA,6,17,23,26.09,62.96,3.671567598,0.055348105
access health,health care,7,2,9,30.43,7.41,3.65879406,0.055773989
year old,NA,7,2,9,30.43,7.41,3.65879406,0.055773989
need make,NA,7,2,9,30.43,7.41,3.65879406,0.055773989
wait,NA,10,4,14,43.48,14.81,3.644352427,0.056259678
early childhood,education,10,4,14,43.48,14.81,3.644352427,0.056259678
school safety,crime/justice,1,7,8,4.35,25.93,3.614331723,0.057283732
raising taxes,economy/fiscal issues,1,7,8,4.35,25.93,3.614331723,0.057283732
nearly 000,NA,1,7,8,4.35,25.93,3.614331723,0.057283732
solutions,NA,5,15,20,21.74,55.56,3.550724638,0.059519452
40,NA,5,15,20,21.74,55.56,3.550724638,0.059519452
account,NA,2,9,11,8.7,33.33,3.42687747,0.064143271
11,NA,3,11,14,13.04,40.74,3.402806533,0.065085592
rainy,NA,3,11,14,13.04,40.74,3.402806533,0.065085592
recommendations,NA,3,11,14,13.04,40.74,3.402806533,0.065085592
rainy day,economy/fiscal issues,3,11,14,13.04,40.74,3.402806533,0.065085592
rate lowest,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
members cabinet,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
open doors,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
reach potential,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
people world,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
start new,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
college tuition,education,5,1,6,21.74,3.7,3.36661299,0.066530403
honored guests,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
know know,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
fiscally responsible,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
federal funding,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
economy strong,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
changing economy,economy/fiscal issues,5,1,6,21.74,3.7,3.36661299,0.066530403
special education,education,5,1,6,21.74,3.7,3.36661299,0.066530403
schools year,education,5,1,6,21.74,3.7,3.36661299,0.066530403
health outcomes,health care,5,1,6,21.74,3.7,3.36661299,0.066530403
challenges face,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
care need,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
rural hospitals,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
water infrastructure,NA,5,1,6,21.74,3.7,3.36661299,0.066530403
kindergarten,education,11,5,16,47.83,18.52,3.33373591,0.067872542
small businesses,economy/fiscal issues,11,5,16,47.83,18.52,3.33373591,0.067872542
lady,NA,7,18,25,30.43,66.67,3.260869565,0.070951492
make happen,NA,8,3,11,34.78,11.11,3.163372859,0.075307444
sharing,NA,8,3,11,34.78,11.11,3.163372859,0.075307444
forced,NA,8,3,11,34.78,11.11,3.163372859,0.075307444
